Comment(Name),Reference,Count,footprint,JLCPCB Part #,Value
100nF,C10,2,CAPC1005X55N,C24497,USD0.0138
USB_B_Micro,J1,1,USB_Micro-B_GCT_USB3076-30-A,C404969,USD0.03
M24C16-RMN6TP,U6,1,SOIC127P600X175-8N,C79946,USD0.08
CH340C,U5,1,SOIC127P600X180-16N,C84681,USD0.47
10nF,C11,1,tbc,C1846,USD0.0131
GREEN,D1,1,LEDC1005X55N,C84256,USD0.0113
100,R5,1,RESC1608X55N,C22775,USD0.001
10uF,C1-C2-C4,3,CAPC1608X100N,C15195,USD0.01
FS8205A,Q1,1,SOP65P640X120-8N,C16052,USD8.99
DW01A-G,IC1,1,SOT95P280X135-6N,C61503,USD0.15
1K,R1,4,RESC1005X40N,C11702,USD0.04
10k,R2-R7-R8-R9-R10,5,tbc,C17902,USD0.015
Battery_Cell,BT1,1,tbc,C2979182,USD0.30
LM75AD-118,IC1,1,SOIC127P600X175-8N,C7963,USD0.51
GL5539,R11,1,tbc,C125630,USD0.04
HT75xx-1-SOT89,U1,1,Package_TO_SOT_SMD:SOT-89-3,C14289,USD0.1315
,,,,TOTAL:,USD10.8
